id,title,location,salary_min,category,description,created
5685697603,Encargado/a de Auditoría Externa,"Ciudad de México, México, México",2247,IT Jobs,"KPMG es Firma líder en servicios profesionales de Auditoría, Impuestos y Asesoría que ofrece a nuestros clientes experiencia global y un amplio conocimiento local Tenemos presencia en más de 155 países siendo más de 155,000 profesionales y en México, contamos con oficinas en 17 estados con más 3,500 colaboradores Consultora de servicios se encuentra en búsqueda de Senior de Auditoría Externa con el siguiente perfil: ¿Cuál sería tu propósito en este puesto? Planear las Auditorias de empresas gra…",2026-04-01T08:40:58Z
5685699605,Arquitecto de soluciones SAP,"Monterrey, Nuevo León, México",1702,IT Jobs,"Sobre Nosotros T&M Consulting es una compañía que ofrece soluciones digitales reales de extremo a extremo que crean valor comercial real. Fundada en 2014, somos un grupo experimentado de personas con conocimiento de procesos y experiencia tecnológica en servicios de soluciones de TI, soporte de aplicaciones, infraestructura y mejores prácticas que pueden ayudar a cerrar la brecha en su viaje de transformación digital. Nos aseguramos de que las inversiones digitales de nuestros clientes devuelva…",2026-04-01T08:41:11Z
5685700599,Business Development Executive Farma,"Ciudad de México, México, México",906,IT Jobs,"Ejecutivo de Desarrollo de Negocios para ventas a Farma (Inglés conversacional) Sobre esta oportunidad: En Iron Mountain, a medida que continuamos nuestro viaje de crecimiento, esperamos invitar a Ejecutivos de Desarrollo de Negocios con sólida experiencia en venta al sector de HLS (Health and Lifescience) que hayan manejado cuentas globales a unirse a nuestro equipo en Ciudad de México para ser parte de nuestra organización global. El Ejecutivo de Desarrollo de Negocios de Cuentas Globales gen…",2026-04-01T08:41:26Z
5688189792,Financial Analyst,"Ciudad de México, México, México",1161,IT Jobs,"Sobre el rol Como FP&A Specialist en Delta Protect, serás una pieza clave para conectar estrategia con resultados financieros. Tu misión será garantizar visibilidad, control y análisis oportuno de los indicadores clave del negocio, contribuyendo directamente a la toma de decisiones. Trabajarás junto al Head of Finance para traducir datos en acciones, optimizar el uso de recursos y asegurar la sostenibilidad financiera del crecimiento. Tus Principales Desafíos Cash flow owner : serás responsable…",2026-04-02T20:54:25Z
5685696053,IT Procurement Sourcing Analyst - Assistant Manager,"Zapopan, Jalisco, México",2043,IT Jobs,"Ready to build the future with AI? At Genpact, we don’t just keep up with technology—we set the pace. AI and digital innovation are redefining industries, and we’re leading the charge. Genpact’s AI Gigafactory, our industry-first accelerator, is an example of how we’re scaling advanced technology solutions to help global enterprises work smarter, grow faster, and transform at scale. From large-scale models to agentic AI, our breakthrough solutions tackle companies’ most complex challenges. If y…",2026-04-01T08:40:47Z
5687246245,Account Executive - West Coast,México,886,IT Jobs,"Account Executive - West Coast  Location: Remote – West Coast (PST/MST business hours)  Type: Full-Time  Compensation: Base Salary  Commission (competitive based on experience)  Modality: 100% Remote About Visure Visure Solutions is a global leader in Requirements Application Lifecycle Management (ALM) , empowering companies across safety-critical and business-critical industries. Our award-winning ALM platform supports the entire requirements lifecycle—from traceability and test management to …",2026-04-02T04:47:57Z
5685692919,Financial Data Analysis Specialist,"Ciudad de México, México, México",2290,IT Jobs,"ALTEN Mexico is a subsidiary of ALTEN Group. ALTEN group has been a leader in engineering and information technology for more than 30 years and operates in 30 countries across Europe, North America, Asia, Africa, and the Middle East and employs more than 46,000 people, 88% of whom are engineers. We are seeking for someone to analyze and interpret financial data to generate insights that support decision-making and improve Financial Services performance. Work cross-functionally to ensure data ac…",2026-04-01T08:40:21Z
5687245753,Business Manager (BM),"Querétaro, México, México",1663,IT Jobs,"ALTEN México es una filial del Grupo ALTEN, líder mundial en consultoría de ingeniería y tecnología con más de 30 años de experiencia. Operando en 30 países, ALTEN emplea a más de 54,000 ingenieros y ofrece un ciclo completo de desarrollo, cubriendo desde el diseño del concepto hasta el desarrollo del producto, sistemas de producción e implementación. Actualmente estamos buscando un Business Manager para unirse a nuestro equipo. Se requiere una fuerte orientación comercial para la prospección d…",2026-04-02T04:47:16Z
5685701196,Responsable de Servicios y Garantías,"Cancún, Quintana Roo, México",821,IT Jobs,"Yachtcancun | Cancún, México Yachtcancun es uno de los dealers de embarcaciones premium más relevantes de México, con más de 20 años de experiencia en el mercado y relaciones directas con fabricantes internacionales. Operamos dentro de una industria donde las embarcaciones son activos de alto valor y donde la experiencia del cliente depende directamente de la rapidez y efectividad con la que se resuelven problemas técnicos, logísticos y operativos. Actualmente buscamos incorporar a un Responsab…",2026-04-01T08:41:33Z
5685698364,Business Advanced Analytics Senior (S&OP),México,1689,IT Jobs,"Sobre NTT DATA En NTT DATA , tienes infinitas oportunidades para pensar en grande, actuar con valentía y asumir la responsabilidad. Como líder de más de 30 mil millones de dólares en servicios de negocio y tecnología, IA e infraestructura digital, co‑innovamos soluciones con clientes y socios a nivel global para generar impacto empresarial y social. Atendiendo al 75% de las empresas Fortune Global 100 y con expertos en más de 70 países, fomentamos la experimentación y reconocemos el gran trabaj…",2026-04-01T08:41:02Z
